,Accuracy1,Precision1,Recall1,F1Score1,Accuracy2,Precision2,Recall2,F1Score2
0,0.987,0.9773123909249564,1.0,0.9885260370697264,0.92,0.9443207126948775,0.8851774530271399,0.9137931034482758
1,0.991,0.9910873440285205,0.9928571428571429,0.991971454058876,0.932,0.9272349272349273,0.9311064718162839,0.9291666666666667
2,0.993,0.9876543209876543,1.0,0.9937888198757764,0.931,0.9515418502202643,0.9018789144050104,0.9260450160771704
3,0.992,0.9859154929577465,1.0,0.9929078014184397,0.948,0.9532908704883227,0.9373695198329853,0.9452631578947368
4,0.99,0.9841549295774648,0.9982142857142857,0.9911347517730497,0.928,0.9111111111111111,0.941544885177453,0.9260780287474334
5,0.984,0.9892086330935251,0.9821428571428571,0.985663082437276,0.928,0.9492273730684326,0.8977035490605428,0.9227467811158798
6,0.992,0.9859154929577465,1.0,0.9929078014184397,0.938,0.9195171026156942,0.954070981210856,0.9364754098360656
7,0.99,0.9858657243816255,0.9964285714285714,0.9911190053285969,0.919,0.898,0.9373695198329853,0.9172625127681306
8,0.99,0.9858657243816255,0.9964285714285714,0.9911190053285969,0.93,0.9251559251559252,0.9290187891440501,0.9270833333333335
9,0.991,0.9876106194690265,0.9964285714285714,0.992,0.94,0.9284253578732107,0.9478079331941545,0.9380165289256198
